1039	3
411	1323
770	124
4920	232
536	1211
1533	3093
611	442
310	201845
1548	195155
1336	170816
2244	160282
3970	149514
44	142582
6468	137428
728	137113
1549	135376
1236	128659
963	128484
5152	112404
2262	109848
1287	98701
1399	98524
157	98016
2319	97193
747	96727
2276	93920
903	93663
855	92107
712	91398
1772	88735
33	86446
2354	81578
1868	79287
2275	78504
418	78014
1587	77963
18	76726
1516	76568
2775	71458
2425	70425
4023	69939
695	68842
3035	68502
2856	65425
593	65062
2489	64605
213	63939
2427	62387
663	60314
2949	59808
6817	59200
2582	58830
534	58733
1194	58669
2546	58558
1896	57327
1611	57229
3028	56533
2021	55363
2322	54644
2238	54154
1517	53810
944	53231
1526	52935
2451	52258
1147	51848
973	51615
2972	51094
688	50277
1563	50184
7371	49423
2947	49015
969	48636
2232	48293
1490	48079
2574	47847
2883	47767
658	47726
2020	47494
911	47416
5880	47149
2271	45455
2254	45395
5811	44897
2810	44762
2217	44255
883	44170
1448	43928
2272	43862
14	43705
1691	43380
597	43374
2267	43197
1342	43192
2526	42152
3994	41893
854	41550
1340	41500
1493	41248
48	41245
2373	41140
866	41117
2145	40902
1009	40648
417	40620
2771	40414
5116	40368
2353	40014
2234	39927
2334	39756
1573	39585
1702	39317
86	39220
1654	39181
1786	39038
5870	38794
2303	38525
2413	38042
2808	37887
512	37191
1288	37096
2074	37027
858	36803
2253	36717
2108	36574
985	36334
1471	36266
416	36188
5821	36057
2496	35906
1040	35856
979	35725
5915	35642
697	35559
2321	35398
2006	34610
662	34205
862	34148
2415	33802
1113	33459
81	33372
974	33237
2757	32927
959	32895
13	32873
2722	32825
1728	32501
60	32319
702	31690
2221	31674
794	31547
1524	31525
2019	31335
551	31211
2361	30980
675	30647
5577	30514
2410	30510
2278	30212
2417	30195
2295	30182
1141	30166
2302	30093
1473	29604
330	29594
2269	29396
2355	28923
2960	28578
1212	28416
2818	28309
1557	28270
1380	28211
2283	27919
2080	27767
1460	27536
1217	27421
861	26699
2310	26688
1726	26544
2973	26522
4571	26473
2770	26467
954	26441
774	25946
2959	25944
868	25883
917	25883
2522	25754
596	25517
803	25360
6844	25318
5185	25251
1143	25208
1826	24720
5812	24628
2954	24510
2485	24500
850	24468
419	24462
2957	24458
5656	24392
15	24331
1243	24117
715	24025
6612	23995
2291	23550
2261	23385
2510	23359
